user,timestamp,source_ip,country,device,success,mfa_used
mirna@corp.com,2026-05-29 20:18:02,197.32.10.2,Egypt,Windows 11,False,True
ahmed@corp.com,2026-05-27 00:02:02,197.32.10.1,Russia,Linux,True,False
mirna@corp.com,2026-05-29 03:05:02,197.32.10.1,Egypt,Windows 11,False,False
mirna@corp.com,2026-05-28 21:50:02,45.33.32.156,Russia,MacOS,True,True
ahmed@corp.com,2026-05-30 19:39:02,10.0.0.5,Egypt,Linux,False,False
ahmed@corp.com,2026-05-28 19:00:02,197.32.10.2,USA,Unknown,True,True
sara@corp.com,2026-05-31 00:16:02,197.32.10.2,China,Windows 11,True,True
admin@corp.com,2026-05-26 23:20:02,10.0.0.5,Egypt,Linux,True,True
sara@corp.com,2026-05-29 12:35:02,197.32.10.1,Russia,MacOS,False,True
mirna@corp.com,2026-05-25 08:48:02,45.33.32.156,Egypt,Unknown,False,False
sara@corp.com,2026-05-26 15:11:02,185.220.101.5,USA,Windows 11,True,True
admin@corp.com,2026-05-27 06:29:02,197.32.10.1,Egypt,Windows 11,True,True
mirna@corp.com,2026-05-30 16:11:02,10.0.0.5,Russia,Unknown,True,False
admin@corp.com,2026-05-25 21:51:02,45.33.32.156,Russia,MacOS,True,False
sara@corp.com,2026-05-26 10:47:02,185.220.101.5,Egypt,Windows 11,True,True
admin@corp.com,2026-05-28 07:39:02,45.33.32.156,Egypt,Windows 11,True,False
mirna@corp.com,2026-05-29 13:40:02,10.0.0.5,Russia,Unknown,True,True
ahmed@corp.com,2026-05-27 20:25:02,185.220.101.5,Egypt,Unknown,False,True
admin@corp.com,2026-05-25 12:58:02,10.0.0.5,Egypt,Linux,True,True
admin@corp.com,2026-06-01 06:03:02,185.220.101.5,China,MacOS,True,True
sara@corp.com,2026-05-31 17:54:02,185.220.101.5,China,Windows 11,True,True
mirna@corp.com,2026-05-26 15:46:02,10.0.0.5,Russia,Unknown,False,True
mirna@corp.com,2026-05-27 07:45:02,197.32.10.1,USA,Windows 11,True,True
sara@corp.com,2026-05-27 18:36:02,197.32.10.2,Egypt,Windows 11,True,False
ahmed@corp.com,2026-05-29 15:07:02,197.32.10.2,Egypt,MacOS,False,False
mirna@corp.com,2026-05-31 16:25:02,10.0.0.5,Egypt,Unknown,True,False
admin@corp.com,2026-05-30 10:35:02,197.32.10.1,USA,Linux,True,True
ahmed@corp.com,2026-05-31 10:33:02,10.0.0.5,Russia,Unknown,True,True
ahmed@corp.com,2026-05-30 11:11:02,185.220.101.5,China,Windows 11,True,True
admin@corp.com,2026-06-01 06:36:02,197.32.10.1,China,Linux,False,True
ahmed@corp.com,2026-05-26 16:55:02,185.220.101.5,Egypt,Windows 11,True,True
sara@corp.com,2026-05-28 09:12:02,197.32.10.1,China,Unknown,True,True
mirna@corp.com,2026-05-26 05:35:02,10.0.0.5,Egypt,MacOS,False,False
ahmed@corp.com,2026-05-31 17:21:02,45.33.32.156,China,MacOS,False,True
mirna@corp.com,2026-05-29 09:55:02,185.220.101.5,Egypt,Windows 11,True,True
